,col_room_number,col_region,col_area,col_price,col_price_sq_m,col_floor,col_layout,flat_type,city_area,premises_area,floor,floor_tot,layout,status,price
1,1-комн.,"Советский р-н, Шумяцкого, 7",29.70 м 2,3 340 000 руб.,112 458 руб./м2,1 эт. из 9,"Советский р-н, Шумяцкого, 7
Планировка: новая
Готовое",1_room_ap,Sovietskiy,29.7,1,9,new,finished,38837.20930232558
2,3-комн.,"Советский р-н, 60 лет Образования СССР, 20",64.10 м 2,6 500 000 руб.,101 404 руб./м2,2 эт. из 9,"Советский р-н, 60 лет Образования СССР, 20
Планировка: новая
Готовое",3_room_ap,Sovietskiy,64.1,2,9,new,finished,75581.3953488372
3,3-комн.,"Свердловский р-н, Семафорная, 241",58.40 м 2,4 990 000 руб.,85 445 руб./м2,1 эт. из 5,"Свердловский р-н, Семафорная, 241
Планировка: хрущевка
Готовое",3_room_ap,Sverdlovsky,58.4,1,5,khrushchevka,finished,58023.25581395349
4,3-комн.,"Свердловский р-н, Южная набережная, 10",92.30 м 2,12 400 000 руб.,134 345 руб./м2,5 эт. из 6,"Свердловский р-н, Южная набережная, 10
Планировка: новая
Готовое",3_room_ap,Sverdlovsky,92.3,5,6,new,finished,144186.0465116279
5,2-комн.,"Октябрьский р-н, Норильская, 8г",48.00 м 2,4 300 000 руб.,89 583 руб./м2,10 эт. из 17,"Октябрьский р-н, Норильская, 8г
Планировка: новая
Готовое",2_room_ap,Oktyabrskiy,48.0,10,17,new,finished,50000.0
6,3-комн.,"Советский р-н, Воронова, 15",65.00 м 2,6 300 000 руб.,96 923 руб./м2,3 эт. из 9,"Советский р-н, Воронова, 15
Планировка: новая
Готовое",3_room_ap,Sovietskiy,65.0,3,9,new,finished,73255.81395348837
7,3-комн.,"Советский р-н, 9 Мая, 8",71.70 м 2,7 600 000 руб.,105 997 руб./м2,9 эт. из 10,"Советский р-н, 9 Мая, 8
Планировка: новая
Готовое",3_room_ap,Sovietskiy,71.7,9,10,new,finished,88372.09302325582
8,2-комн.,"Кировский р-н, Красноярский Рабочий, 108",45.60 м 2,3 990 000 руб.,87 500 руб./м2,3 эт. из 5,"Кировский р-н, Красноярский Рабочий, 108
Планировка: хрущевка
Готовое",2_room_ap,Kirovsky,45.6,3,5,khrushchevka,finished,46395.348837209305
10,1-комн.,"Свердловский р-н, Карамзина, 18",31.90 м 2,4 000 000 руб.,125 392 руб./м2,5 эт. из 10,"Свердловский р-н, Карамзина, 18
Планировка: индивидуальная
Готовое",1_room_ap,Sverdlovsky,31.9,5,10,individual,finished,46511.62790697674
11,1-комн.,"Железнодорожный р-н, Ломоносова, 94к2",25.00 м 2,2 200 000 руб.,88 000 руб./м2,4 эт. из 5,"Железнодорожный р-н, Ломоносова, 94к2
Планировка: студия
Готовое",1_room_ap,Zheleznodorozhniy,25.0,4,5,studio,finished,25581.39534883721
